Country,Item,Year,Value
Ghana,Vegetables,1983,17.31
Ghana,Vegetables,1988,19.01
Ghana,Vegetables,1993,23.16
Ghana,Vegetables,1998,42.07
Ghana,Vegetables,2003,29.46
Ghana,Vegetables,2008,28.4
Ghana,Vegetables,2013,42.62
Greece,Vegetables,1963,139.78
Greece,Vegetables,1968,183.55
Greece,Vegetables,1973,242.28
Greece,Vegetables,1978,266.42
Greece,Vegetables,1983,248.48
Greece,Vegetables,1988,263.3
Greece,Vegetables,1993,262.1
Greece,Vegetables,1998,268.34
Greece,Vegetables,2003,288.3
Greece,Vegetables,2008,230.52
Greece,Vegetables,2013,224.39
Guatemala,Vegetables,1963,23.91
Guatemala,Vegetables,1968,27.39
Guatemala,Vegetables,1973,31.4
Guatemala,Vegetables,1978,25.68
Guatemala,Vegetables,1983,32.89
Guatemala,Vegetables,1988,43.39
Guatemala,Vegetables,1993,39.75
Guatemala,Vegetables,1998,45.37
Guatemala,Vegetables,2003,66.15
Guatemala,Vegetables,2008,74.59
Guatemala,Vegetables,2013,56.82
Guinea,Vegetables,1963,72.17
Guinea,Vegetables,1968,93.77
Guinea,Vegetables,1973,73.42
Guinea,Vegetables,1978,84.29
Guinea,Vegetables,1983,80.42
Guinea,Vegetables,1988,74.12
Guinea,Vegetables,1993,74.4
Guinea,Vegetables,1998,56.85
Guinea,Vegetables,2003,60.08
Guinea,Vegetables,2008,50.76
Guinea,Vegetables,2013,49.37
Guinea-Bissau,Vegetables,1963,19.47
Guinea-Bissau,Vegetables,1968,22.77
Guinea-Bissau,Vegetables,1973,23.77
Guinea-Bissau,Vegetables,1978,23.76
Guinea-Bissau,Vegetables,1983,18.8
Guinea-Bissau,Vegetables,1988,17.24
Guinea-Bissau,Vegetables,1993,17.6
Guinea-Bissau,Vegetables,1998,18.48
Guinea-Bissau,Vegetables,2003,16.4
Guinea-Bissau,Vegetables,2008,19.22
Guinea-Bissau,Vegetables,2013,19.64
Guyana,Vegetables,1963,9.25
Guyana,Vegetables,1968,11.67
Guyana,Vegetables,1973,12.54
Guyana,Vegetables,1978,11.76
Guyana,Vegetables,1983,12.36
Guyana,Vegetables,1988,12.03
Guyana,Vegetables,1993,24.06
Guyana,Vegetables,1998,62.96
Guyana,Vegetables,2003,78.22
Guyana,Vegetables,2008,76.49
Guyana,Vegetables,2013,85.24
Haiti,Vegetables,1963,39.06
Haiti,Vegetables,1968,41.25
Haiti,Vegetables,1973,43.51
Haiti,Vegetables,1978,44.41
Haiti,Vegetables,1983,44.9
Haiti,Vegetables,1988,41.25
Haiti,Vegetables,1993,26.06
Haiti,Vegetables,1998,36.41
Haiti,Vegetables,2003,22.19
Haiti,Vegetables,2008,19.36
Haiti,Vegetables,2013,19.04
Honduras,Vegetables,1963,15.84
Honduras,Vegetables,1968,17.31
