Country,Item,Year,Value
Uruguay,Mean BMI,1988,25.1429525156
Uzbekistan,Mean BMI,1988,23.7512803834
Vanuatu,Mean BMI,1988,24.3828819808
Venezuela,Mean BMI,1988,25.3651032539
Vietnam,Mean BMI,1988,19.0430095453
Yemen,Mean BMI,1988,21.1434578865
Zambia,Mean BMI,1988,20.9063781849
Zimbabwe,Mean BMI,1988,22.8373740109
Afghanistan,Mean BMI,1993,21.0064055399
Albania,Mean BMI,1993,24.8581396692
Algeria,Mean BMI,1993,23.754112867
American Samoa,Mean BMI,1993,33.9311234661
Andorra,Mean BMI,1993,26.5861142182
Angola,Mean BMI,1993,20.9482250306
Antigua and Barbuda,Mean BMI,1993,24.5494913297
Argentina,Mean BMI,1993,25.7304736709
